question;transformed;true_answer;num_answers;source;context
"Was ist ein Krankenhausinformationssystem?
        2.1 Warum ist diese Definition wichtig?";Why is the definition of a hospital information system important?;In most cases, human actors are not included in this definition while being essential for a working HIS.;1;IS_2022_09_27;
Consider a recent health-related situation you were involed in. Which life situation does it correspond to and what was your role in this life situation? List some of the requirements you had in this role and in this life situation.;Consider a recent health-related situation one could be involed in. Which life situation does it correspond to and what was your role in this life situation? List some of the requirements you had in this role and in this life situation.;My father was admitted to the hospital after suddenly showing symptoms of numbness in the left arm, confusion, and trouble seeing while at home. We called the ambulance, and after a short examination, the ambulance team took him to the nearest hospital for further diagnosis and treatment.My father was admitted to the hospital after suddenly showing symptoms of numbness in the left arm, confusion, and trouble seeing while at home. We called the ambulance, and after a short examination, the ambulance team took him to the nearest hospital for further diagnosis and treatment. This situation corresponds to an emergency life situation. I participated in this situation as a close relative. My urgent requirements were to know which hospital my father was taken to and to obtain more information on the suspected diagnosis (here: stroke) and the next steps of diagnosis and therapy.;5;Book;
Imagine that a physician is given the following information about his patient, Mr. Russo: “Diagnosis: hypertension. Last blood pressure measurement: 160/100 mmHg.” Use this example to discuss the difference between “data,” “information,” and “knowledge”!;Imagine that a physician is given the following information about his patient, Mr. Russo: “Diagnosis: hypertension. Last blood pressure measurement: 160/100 mmHg.” Use this example to discuss the difference between “data,” “information,” and “knowledge”!;"“160,” “100,” “hypertension,” and “blood pressure” represent data that cannot be interpreted without knowledge about the context.
The information is that Mr. Russo has been diagnosed with hypertension and that his last blood pressure is 160/100 mmHg.
The medical knowledge embedded in this example is that a blood pressure of 160/100 mmHg indicates hypertension that should be treated.";3;Book;
"Consider the requirements of various stakeholders when it comes to health information systems supporting various life situations.
Can you imagine situations where the requirements of two stakeholder groups differ or even contradict each other? What does this imply when building health information systems?";"Consider the requirements of various stakeholders when it comes to health information systems supporting various life situations.
Can you imagine situations where the requirements of two stakeholder groups differ or even contradict each other? What does this imply when building health information systems?";"While a patient is being treated for an acute disease, the requirements of the treating physicians and nurses as well as of the patient and relatives may differ.
For example, patient and relatives want to be kept informed of ongoing diagnostic outcomes (e.g., lab values) as soon as possible.
However, physicians and nurses may want to discuss the findings with the patient in person to avoid causing unnecessary confusion and stress in the patient.
Therefore, the health information system must be able to provide detailed information to physicians and nurses, but it must be able to only present confirmed information to the patient (e.g., via a patient portal).";2;Book;
"Look up some information on the nervous system of the human body.
Then try to identify subsystems of the nervous system.
In the same way, can you also describe subsystems of the system “hospital”?";"Whe comparing the nervous system of the humand body to the system ""hospital"" the following subsystems can be identified and described:\n";"The nervous system comprises two main categories of cells: neurons and glial cells.
Neurons communicate with each other via synapses and thus form their own subsystem.
Glial cells form another subsystem that provides support and nutrition to the neurons.

The hospital can be understood as a system comprising at least two subsystems: the subsystem where clinical care takes place and the subsystem where management takes place.
The clinical subsystem can again be split into several subsystems, such as inpatient area, outpatient area, and specialized diagnostic or therapeutic areas.
The inpatient area itself can be divided into various subsystems, each represented by one ward.
The way I define the subsystems of a hospital depends on the questions or intentions I have.";2;Book;
"Imagine a situation in which a physician speaks with Mr. Russo at the patient’s bedside.
The physician looks up Mr. Russo’s recent blood pressure measurement and ongoing medication, decides to increase the level of one medication, and explains this to Mr. Russo.
Use this example to discuss the meaning of “information and knowledge logistics.” What in this example indicates the right information, the right place, the right people, the right form, and the right decision? What could happen if an information system does not support high-quality information and knowledge logistics?";"Imagine a situation in which a physician speaks with Mr. Russo at the patient’s bedside.
The physician looks up Mr. Russo’s recent blood pressure measurement and ongoing medication, decides to increase the level of one medication, and explains this to Mr. Russo.
Use this example to discuss the meaning of “information and knowledge logistics.” What in this example indicates the right information, the right place, the right people, the right form, and the right decision? What could happen if an information system does not support high-quality information and knowledge logistics?";"The physician wants to have access to the right information (the most recent blood pressure) at the right time (when talking to Mr. Russo) at the right place (at the patient’s bedside) in the right form (hopefully the blood pressure is provided in an easy-to-grasp, visual way) so that he can make the right decision (here: to decide on the level of a certain medication).
If the information system does not support this, the physician may obtain an incorrect or outdated blood pressure measurement, or he may misinterpret it, thereby coming to a decision that is suboptimal for the patient.";2;Book;
"During a night shift, a nurse uses the patient administration system to conduct the administrative patient admission.
The nurse then uses the NMDS to plan nursing care.
Now consider the types of integration presented in Sect. 3.8 and discuss how this nurse would recognize a high (or low) level of data integration, semantic integration, user interface integration, context integration, feature integration, and process integration.
";"During a night shift, a nurse uses the patient administration system to conduct the administrative patient admission.
The nurse then uses the NMDS to plan nursing care.
Now consider the types of integration and discuss how this nurse would recognize a high (or low) level of data integration, semantic integration, user interface integration, context integration, feature integration, and process integration.
";"Data integration would be considered high when the nurse documents patient administrative data only once in the patient administration system and then can use this data in the NMDS.

Semantic integration would be considered high when the nurse documents a nursing diagnosis using a standardized terminology (such as NANDA) and when this standardized diagnosis is then understood by the NMDS that may, for example, suggest a standard nursing care plan for this patient based on this diagnosis.

User interface integration would be considered high when the user interfaces of both application systems look sufficiently similar, which reduces the risk of data entry or data interpretation errors.
For example, in both application systems, the names of the patients are always displayed at the same place, the birthdates are presented in standardized form, and colors that are used to highlight important information are used in the same way.

Context integration would be considered high when the user context and the patient context is preserved when the nurse shifts from one application system to the other.
The nurse thus would not have to repeat user login or the selection of the patient in the second application system.

Feature integration would be considered high when only the patient administration system offers the needed administrative features (such as documentation of patient address). The nurse would be able to call up these features from within the NMDS.

Process integration would be considered high if both application systems work together in a highly integrated way so that the process of patient admission and nursing care planning from the point of view of the nurse is supported in an efficient way.";6;Book;
"Imagine you are the CIO of a hospital in which almost no computer-based tools are used.
One of the hospital’s goals is to support health care professionals in their daily tasks by offering up-to-date patient information at their workplace.
Which main goals for management of information systems could you define based on this information? Which functions should be prioritized to be supported by new application systems? What could a strategic project portfolio and a migration plan for the next 5 years look like?";"Imagine you are the CIO of a hospital in which almost no computer-based tools are used.
One of the hospital’s goals is to support health care professionals in their daily tasks by offering up-to-date patient information at their workplace.
Which main goals for management of information systems could you define based on this information? Which functions should be prioritized to be supported by new application systems? What could a strategic project portfolio and a migration plan for the next 5 years look like?";"Goals: efficient and high-quality information logistics to support patient care.

Functions: patient administration and all functions related to patient care (Sect. 3.​3.​2.​1).
Project portfolio and migration plan:
- Year 1: Introduction of a patient administration system.
- Year 2: Introduction of a CIS, an LIS and an RIS.
- Year 3: Introduction of a DAS and a PACS.
- Year 4: Introduction of an OMS and of a PDMS.
- Year 5: Introduction of a DWS and of a patient portal.

Please note: This is a simplified solution. Other solutions may be valid, too. In case the different application systems are meant to come from different vendors, an integration technology such as a communication server needs to be implemented.";5;Book;
"Imagine you are the CIO and have to select the three most relevant indicators for the quality of your information system at your hospital: Which would you select? You can look at the examples in Sect. 4.8.2 to get ideas.
Explain your choice.
";"Imagine you are the CIO and have to select the three most relevant indicators for the quality of your information system at your hospital: Which would you select?
Explain your choice.
";"Several solutions are possible here. One possible solution:
1. HIS user per mobile IT tool: Efficient information logistics everywhere (e.g., at the patient’s bedside) requires enough mobile IT tools.
2. Number of application systems: I would strive for an integrated information system and reduce the number of application systems in the long run in order to reduce integration problems.
3. HIS budget in relation to the overall hospital budget: Sufficient funding is the precondition for high-quality and well-integrated information system and the necessary competent IT staff.";3;Book;
"Information systems managers can be partly compared to architects.
Read the following statement and discuss similarities and differences between information system architects and building architects [8]:

“We are architects.
[…] We have designed numerous buildings, used by many people.
[…] We know what users want.
We know their complaints: buildings that get in the way of the things they want to do.
[…] We also know the users’ joy of relaxing, working, learning, buying, manufacturing, and worshipping in buildings which were designed with love and care as well as function in mind.
[…] We are committed to the belief that buildings can help people to do their jobs or may impede them and that good buildings bring joy as well as efficiency.”
";"Information systems managers can be partly compared to architects.
Read the following statement and discuss similarities and differences between information system architects and building architects:

“We are architects.
[…] We have designed numerous buildings, used by many people.
[…] We know what users want.
We know their complaints: buildings that get in the way of the things they want to do.
[…] We also know the users’ joy of relaxing, working, learning, buying, manufacturing, and worshipping in buildings which were designed with love and care as well as function in mind.
[…] We are committed to the belief that buildings can help people to do their jobs or may impede them and that good buildings bring joy as well as efficiency.”
";"Health information managers can indeed be compared with architects.
Health information managers design information systems that are used by many different user groups.
Health information managers regularly monitor the quality of information systems to obtain feedback and to improve the information system.
Health information managers understand that information systems support many different functions for many different user groups within health care facilities.
Health information managers make sure that the application systems are user-friendly and support working processes in an efficient way.
Health information managers understand that an information system serves the overall goal of a health care facility and ultimately serves the need of the patients.
";6;Book;
"A clinical researcher at Ploetzberg Hospital has won a grant to set up a register for patients who have received a knee endoprosthesis.
Disease registers are research databases for collecting data about a specific disease, aiming for full coverage of the respective patient collective.
The aim of a knee endoprosthesis registry is to collect longitudinal data to find out which type of endoprosthesis works best over time.
The researcher wants to integrate data from patient-reported outcome questionnaires, findings from inpatient or outpatient visits at the hospital, and results from laboratory examinations.
Which entity types need to be integrated and from which application components do they come? Devise a plan how you would set up a sustainable research architecture, i.e., an architecture that also could be used in other research settings and for different disease or research entities, considering Sect. 6.6.
";"A clinical researcher at Ploetzberg Hospital has won a grant to set up a register for patients who have received a knee endoprosthesis.
Disease registers are research databases for collecting data about a specific disease, aiming for full coverage of the respective patient collective.
The aim of a knee endoprosthesis registry is to collect longitudinal data to find out which type of endoprosthesis works best over time.
The researcher wants to integrate data from patient-reported outcome questionnaires, findings from inpatient or outpatient visits at the hospital, and results from laboratory examinations.
Which entity types need to be integrated and from which application components do they come? Devise a plan how you would set up a sustainable research architecture, i.e., an architecture that also could be used in other research settings and for different disease or research entities, considering Sect. 6.6.
";"The following entity types have to be integrated: patient, person, diagnosis, finding, health record, medical procedure, patient record, self-gathered symptoms, material, medical device, classification, nomenclature.

Application components to be integrated depend on local settings and implementation but will likely include: patient administration system, MDMS, LIS, OMS, PDMS, and self-diagnosis systems (e.g., an app for collecting patient-reported outcome data) or patient portals.

A research architecture for setting up multiple registries might include a DWS for research that is fed via ETL processes from the above-mentioned application components and can be tapped for data in different use cases or research scenarios.
Finally, an open platform architecture would enable reuse of patient data in various research contexts.
";3;Book;
"Was ist an dieser Projektbeschreibung falsch?
            ◦ Problem: Auf dem Software-Markt existiert eine Vielzahl unterschiedlicher Informationssysteme, welche im Bereich der Krankenhaushygiene eingesetzt werden können. Der Funktionsumfang und der Einsatzbereich der Informationssysteme ist sehr vielfältig.
            Ziel: Ziel ist eine Systematik zur Erfassung von Informationssystemen und eine systematische Auflistung aller am Markt verfügbarer Informationssysteme im Bereich der Krankenhaushygiene.";"What is wrong with this project description?
Problem: There are many different information systems on the software market which can be used in the field of hospital hygiene. The range of functions and the field of application of the information systems is very diverse.
Goal: The goal is to create a system for recording information systems and a systematic listing of all information systems available on the market in the field of hospital hygiene.";Information Systems are not equal to Software products. The underlaying definition here is wrong and does not include human actors as an essential part.;1;A_2021;
Nennen Sie ein Beispiel für fehlende Datenintegration in der Pflege;Give an example of lack of data integration in care;Patient Admission, Daily Checks and Physical Documentation lead to redundant data management.;1;A_2021;
