             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           2806378 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806377 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806376 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806375 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806374 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806373 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806372 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806371 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806370 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806369 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806368 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806367 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806366 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806365 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806364 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806363 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806362 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806361 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806360 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806359 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806358 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806357 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806356 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806355 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806354 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806353 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806352 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2806351 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
           2972730     paula     m389 ip225hfa PD       0:00      8 (Dependency)
           2972729     paula     m389 ip225hfa PD       0:00      8 (Dependency)
           2972728     paula     m389 ip225hfa PD       0:00      8 (DependencyNeverSatisfied)
           2980365     paula MLDE1_fi nz559nsi  R 1-07:28:22      1 paula08
           2986305     paula lnppeg_m be691det  R   16:56:07      1 paula01
           2986258     paula lnppeg_m be691det  R   19:06:14      1 paula01
           2987799     paula   md.job dy290fvi  R      17:48      1 paula02
           2987797     paula   md.job dy290fvi  R      18:31      1 paula02
           2987794     paula   md.job dy290fvi  R      19:08      1 paula02
           2987788     paula   md.job dy290fvi  R      21:05      1 paula02
           2987785     paula   md.job dy290fvi  R      21:50      1 paula02
           2987782     paula   md.job dy290fvi  R      23:00      1 paula02
           2986634     paula   md.job dy290fvi  R   11:38:15      1 paula01
           2986633     paula   md.job dy290fvi  R   11:38:20      1 paula01
           2986632     paula   md.job dy290fvi  R   11:38:25      1 paula01
           2986555     paula   md.job dy290fvi  R   12:36:41      1 paula01
           2986552     paula   md.job dy290fvi  R   12:37:43      1 paula01
           2986551     paula   md.job dy290fvi  R   12:37:51      1 paula01
