question;transformed;true_answer;num_answers;source;context
Wozu setzt man Remote Function Calls ein?;What are Remote Function Calls used for?;Remote Function Calls (RFC) is a communications interface based on CPI-C, but with more functions and easier for application programmers to use. It is the call or remote execution of a Remote Function Module in an external system. In the SAP system, these functions are provided by the RFC interface system. The RFC interface system enables function calls between two SAP systems;1;IS_2020_09_27;
Wie findet ein Labormitarbeiter mit einer Fallnummer in der Hand Geburtsdatum und Geschlecht eines Patienten?;How does a lab worker with a case number in hand find a patient's date of birth and gender?;In the Laboratory Information System, which got its information from a communication server.;1;IS_2020_09_27;
Erläutern Sie die Taxonomy für Krankenhausinformationssysteme!;Explain the taxonomy for hospital information systems!;The taxonomy for HIS is a classification system that is used to categorize different types of HIS based on their functionality and purpose. The taxonomy can be used to help healthcare organizations select the right HIS for their needs. There are several different taxonomies for HIS, but they generally include categories such as clinical information systems, administrative information systems, and decision support systems;1;IS_2020_09_27;
Wieso haben wir meist (ACn, Vn)?;Why do we mostly have (AC^n, V^n)?;This allows Best of Breed Architecture choosing the best products and being independent from vendors.;1;IS_2020_09_27;
Was ist der Unterschied zwischen dem PVS und dem PDMS?;What is the difference between the PMS and the PDMS?;"PMS:
- primary focus on helping health care provides streamline their day-to-day tasks

PDMS:
- primary focus on capturing mainaining comprehensive and accurate patient medical data.";1;IS_2020_09_27;
Wie kann man auch bei fehlender Vollausleuchtung mit den allgegenwärtigen Funklöchern hinter metallwagen so umgehen, dass Mobile Anwendungen nicht laufend abstürzen?;Even in the absence of full coverage, how can you deal with the ubiquitous radio holes behind metal trolleys in such a way that mobile applications don't crash all the time?;"One of this:
- caching and local storage
- Offline Mode
- Background Syncing and Queuing";1;IS_2020_09_27;
Welche Speichermedien gewährleisten eine Unveränderbarkeit der Daten?;Which storage media guarantee that the data cannot be changed?;Write once read many (WORM) data such as Optical Discs, Tape Drives, Solid State Drives or Memory cards;1;IS_2020_09_27;
Ist „Dokumentation“ eine datenverarbeitende Aufgabe bzw. eine enterprise function?;"Is ""documentation"" a data processing task or an enterprise function?";A data processing task;1;IS_2020_09_27;
Woher kommen die neuen Pflegekräfte für Deutschland?;Where are the new care workers for Germany coming from?;Domestic Workforce, European Union Member States, Non-EU Countries;1;IS_2020_09_27;
Wie ist der Stand der Digitalisierung in der Pflege?;What is the state of digitalisation in care?;gradually progressing but still facing some challenges;1;IS_2020_09_27;
Mit welchem Anwendungssystem wird im UKL die Anforderung von Laborleistungen  (order entry) unterstützt?;Which application system is used in the University Hospital to support the request for laboratory services (order entry)?;Laboratory Information System;1;IS_2020_09_27;
Wie erfolgt die Kommunikation der Anforderung (order) an das LIS?;How is the request (order) communicated to the LIS?;It isn't. The call is made from the work place during the context integration of patient identifying data to the LIS.;1;IS_2020_09_27;
Mit welchem Anwendungssystem wird im UKL ein Laborbefund (finding) angezeigt?;Which application system is usually used to display a laboratory finding in the University Hospital?;(COPRA, LIS direkt!);1;IS_2020_09_27;
