Fragen;Umformuliert;Antworten;Anzahl_Antworten;Quelle;Context
"Information systems managers can be partly compared to architects.
Read the following statement and discuss similarities and differences between information system architects and building architects [8]:

“We are architects.
[…] We have designed numerous buildings, used by many people.
[…] We know what users want.
We know their complaints: buildings that get in the way of the things they want to do.
[…] We also know the users’ joy of relaxing, working, learning, buying, manufacturing, and worshipping in buildings which were designed with love and care as well as function in mind.
[…] We are committed to the belief that buildings can help people to do their jobs or may impede them and that good buildings bring joy as well as efficiency.”
";;"Health information managers can indeed be compared with architects.
Health information managers design information systems that are used by many different user groups.
Health information managers regularly monitor the quality of information systems to obtain feedback and to improve the information system.
Health information managers understand that information systems support many different functions for many different user groups within health care facilities.
Health information managers make sure that the application systems are user-friendly and support working processes in an efficient way.
Health information managers understand that an information system serves the overall goal of a health care facility and ultimately serves the need of the patients.
";6;Book;
"Read the following case descriptions and discuss the integration problems using the types of integration presented in Sect. 5.3.4. Which negative effects for information logistics result from the identified integration problems?
1. A physician enters a medical diagnosis for a patient first in the medical documentation and management system (MDMS) and later, when ordering an X-ray, again in the CPOE system.
2. The position of the patient’s name and the formatting of the patient’s birthdate vary between the MDMS and the CPOE system.
3. When physicians shift from the MDMS to the CPOE system, they have to log in again and again search for the correct patient.
4. The CPOE system and the RIS use slightly different catalogs of available radiology examinations.
5. When physicians write the discharge letter for a patient in the MDMS, they also have to code the discharge diagnosis of a patient. For this coding, they have to use a feature that is only available in the patient administration system, so they have to shift to this application system.
6. While at the patient’s bedside during their ward rounds, physicians have to use several application components at the same time, such as MDMS for retrieving recent findings, the CPOE system for ordering, and the PACS for retrieving images.";;"1. A physician enters a medical diagnosis for a patient first in the MDMS and later, when ordering an X-ray, again in the CPOE system. → No data integration, resulting in reentering of data, which is time-consuming and may lead to errors and inconsistencies in the data, which has the potential for patient harm.
 
2. The position of the patient’s name and the formatting of the patient’s birthdate vary between the MDMS and the CPOE system. → No user interface integration, resulting in increased time effort when using various application components, increased time needed for user training, and increased risk in overlooking or misinterpreting important patient information, which has the potential for patient harm.
 
3. When physicians shift from the MDMS to the CPOE system, they have to log in again and again search for the correct patient. → No context integration, leading to an increase in time needed to shift between application systems and an increased risk for selecting the wrong patient in the second application systems, which has the potential for patient harm.
 
4. The CPOE system and the RIS use slightly different catalogs of available radiology examinations. → No semantic integration, making the exchange and reuse of patient information in both application systems challenging.
 
5. When physicians write the discharge letter for a patient in the MDMS, they also have to code the discharge diagnosis of a patient. For this coding, they have to use a feature that is only available in the patient administration system, so they have to shift to this application system. → No feature integration, leading to increased time needed to shift to the patient administration system.
 
6. While being at the patient’s bedside during their ward rounds, physicians have to use several application components at the same time, such as MDMS for retrieving recent findings, the CPOE system for ordering, and the PACS for retrieving images. → No process integration; a process should be organized in a way that frequent change of application systems is avoided if possible.";6;Book;
"A clinical researcher at Ploetzberg Hospital has won a grant to set up a register for patients who have received a knee endoprosthesis.
Disease registers are research databases for collecting data about a specific disease, aiming for full coverage of the respective patient collective.
The aim of a knee endoprosthesis registry is to collect longitudinal data to find out which type of endoprosthesis works best over time.
The researcher wants to integrate data from patient-reported outcome questionnaires, findings from inpatient or outpatient visits at the hospital, and results from laboratory examinations.
Which entity types need to be integrated and from which application components do they come? Devise a plan how you would set up a sustainable research architecture, i.e., an architecture that also could be used in other research settings and for different disease or research entities, considering Sect. 6.6.
";;"The following entity types have to be integrated: patient, person, diagnosis, finding, health record, medical procedure, patient record, self-gathered symptoms, material, medical device, classification, nomenclature.

Application components to be integrated depend on local settings and implementation but will likely include: patient administration system, MDMS, LIS, OMS, PDMS, and self-diagnosis systems (e.g., an app for collecting patient-reported outcome data) or patient portals.

A research architecture for setting up multiple registries might include a DWS for research that is fed via ETL processes from the above-mentioned application components and can be tapped for data in different use cases or research scenarios.
Finally, an open platform architecture would enable reuse of patient data in various research contexts.
";3;Book;
"Skizzieren Sie die Fachliche Ebene und die Logische Werkzeugebene des folgenden Szenarios als 3LGM²-Modell auf dem nächsten Blatt (9 Punkte).
   1. Die administrative Patientenaufnahme erfolgt mit dem Patientenverwaltungssystem. Die administrativen Patientendaten, repräsentiert durch den Objekttyp „Patient“ werden vom Patientenverwaltungssystem über den Kommunikationsserver an das CPOE-System, das Medizinische Dokumentationssystem und das Laborinformationssystem gesendet. Auf Papier mitgebrachte Vorbefunde werden bei der administrativen Patientenaufnahme eingescannt und im Medizinischen Dokumentationssystem gespeichert. 2. Ergänzen Sie je eine Aufgabe des CPOE-Systems, des Medizinischen Dokumentationssystems und des Laborinformationssystems (inkl. Konfigurationslinien).
   3. Ergänzen Sie einen passenden Objekttyp sowie je zwei sinnvolle „bearbeitet“- und „nutzt“-Beziehungen zwischen Objekttypen und Aufgaben.  ";;;;IS_2020_07_18;
"Nennen Sie 3 Dinge, die die Hausärztin Frau Meier in ihrer Praxis benötigt, um auf die in der Telematikinfrastruktur gespeicherten Daten des Patienten Herrn Schulz zuzugreifen? (3 Punkte) ";;;;IS_2020_07_18;
"Ordnen Sie folgende Begriffe und Definitionen einander zu. (6 Punkte)
   1. Datenintegrität, Interoperabilität, Syntaktische Interoperabilität, Referentielle Integrität, Semantische Integration, Datenintegration
   2. Fähigkeit eines Anwendungssystems (AWS), Informationen mit anderen AWS auszutauschen und zu nutzen
   3. Zustand eines Informationssystems, in dem Daten, die einmal erfasst wurden, überall  verfügbar sind, wo sie benötigt werden
   4. Zustand eines Informationssystems, in dem interoperable Anwendungssysteme das gleiche Begriffssystem nutzen
   5. Fähigkeit eines Anwendungssystems, Nachrichten mit einer definierten Struktur auszutauschen
   6. Korrektheit der Daten
   7. Korrekte und eindeutige Zuordnung eines Objekts zu anderen Objekten";;;;IS_2020_07_18;
Erklären Sie für einen Interoperabilitätsstandard im Gesundheitswesen dessen Einsatzgebiet, Funktionsprinzip und die unterstützten Interoperabilitätsarten (4 Punkte).;;;;IS_2020_07_18;
Vergleichen Sie HL7 V2 und HL7 FHIR. Erläutern Sie mindestens drei Unterschiede. (3 Punkte + max. 1 Zusatzpunkt);;;;IS_2020_07_18;
"Skizzieren Sie die Fachliche Ebene und die Logische Werkzeugebene des folgenden Szenarios als 3LGM²-Modell auf dem nächsten Blatt (9 Punkte).
   1. Die administrative Patientenaufnahme erfolgt mit dem Patientenverwaltungssystem. Die administrativen Patientendaten, repräsentiert durch den Objekttyp „Patient“ werden vom Patientenverwaltungssystem über den Kommunikationsserver an das CPOE-System, das Medizinische Dokumentationssystem und das Radiologieinformationssystem gesendet. Auf Papier mitgebrachte Vorbefunde werden bei der administrativen Patientenaufnahme eingescannt und im Medizinischen Dokumentationssystem gespeichert.
   2. Ergänzen Sie je eine Aufgabe des CPOE-Systems, des Medizinischen Dokumentationssystems und des Radiologieinformationssystems (inkl. Konfigurationslinien).
   3. Ergänzen Sie einen passenden Objekttyp sowie je zwei sinnvolle „bearbeitet“- und „nutzt“-Beziehungen zwischen Objekttypen und Aufgaben.  ";;;;IS_2020_09_27;
" Wer stellt die „elektronische Patientenakte (ePA)“ nach § 341 SGB V zur Verfügung? Wie wird der Zugriff auf die enthaltenen medizinischen Daten geregelt? (2 Punkte)";;;;IS_2020_09_27;
" Was ist IHE und welchen Nutzen hat es? Erläutern Sie den Zusammenhang zwischen IHE und Interoperabilitätsstandards (4 Punkte).";;;;IS_2020_09_27;
"Was ist an dieser Projektbeschreibung falsch?
            ◦ Problem: Auf dem Software-Markt existiert eine Vielzahl unterschiedlicher Informationssysteme, welche im Bereich der Krankenhaushygiene eingesetzt werden können. Der Funktionsumfang und der Einsatzbereich der Informationssysteme ist sehr vielfältig.
            Ziel: Ziel ist eine Systematik zur Erfassung von Informationssystemen und eine systematische Auflistung aller am Markt verfügbarer Informationssysteme im Bereich der Krankenhaushygiene.";;;;A_2021;
Was sind Daten, Informationen, Wissen?;;;;;
Was sind System, soziotechnisches System;;;;;
Wie geht 3LGM² genauer?;;;;;
"""Was ist eine datenverarbeitende Aufgabe (enterprise function)? Bitte nennen Sie Beispiele
               2. Bitte erläutern Sie die Aufgabe „Patientenaufnahme“ / „ """;;;;;
Nennen Sie Beispiele für Objekttypen in einem Krankenhausinformationssystem;;;;;
Bitte skizzieren Sie eine typische LWE;;;;;
Bitte erläutern Sie die Begriffe Integration, Interoperabilität, Integrität.;;;;;
Welche Arten von Integrität haben wir diskutiert? (Objektidentität, Referenzielle Integrität, Konsistenz);;;;;
Welche Typen der Integration haben wir diskutiert?;;;;;
Nennen Sie ein Beispiel für fehlende Datenintegration in der Pflege;;;;;
Nennen Sie zwei Kommunikationsstandards für KIS?;;;;;
"Wie hängen 3LGM², IHE; HL7, DICOM, Profil, Ereignis zusammen";;;;;
Wie hängen IHE – Objektidentität – tHIS zusammen?;;;;;
Welche Bedeutung hat die Softwareentwicklung in einem Krankenhaus?;;;;;
Was ist Transaktionsmanagement? Wie wird das in KIS organisiert?;;;;;
Nennen Sie drei Anwendungssysteme und die jeweils unterstützten Aufgaben!;;;;;
Wie würden sie die PWE eines KIS gestalten?;;;;;
Wie sorgen Sie für Ausfallsicherheit in einem KIS?;;;;;
Wie kann man Krankenhausinformationssysteme vergleichen? (Referenzmodelle, Taxonomy);;;;;
Leistungsanforderung: Welche grundsätzlichen Arten der Leistungsanforderung müssen unterschieden werden (mit Terminvereinbarung, mit Probe)? Wo liegen bei der Unterstützung jeweils die Herausforderungen?;;;;;
" Wie funktioniert die Versorgung einer Station mit Medikamenten und Verbrauchsmaterialien? Was ist ein Modulsystem?";;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
